questcard_number,questcard_box,questcard_deckpart,questcard_name,questcard_type,questcard_part,questcard_progress_req,questcard_cost,questcard_unique,questcard_text,questcard_count,questcard_keyword1,questcard_keyword2,questcard_keyword3,questcard_keyword4,questcard_trait1,questcard_trait2,questcard_trait3,questcard_trait4,questcard_hp,questcard_quest,questcard_attack,questcard_def,questcard_secrecy,questcard_vp
63,4,10,Athelas,Objective,,,,,"Action: Exhaust a hero to claim this objective if it has no encounters attached. Then, attach Athelas to that hero.",4,guarded,,,,item,artifact,,,,,,,,
64,4,10,Wilyador,Objective - Ally,,,,,"No attachments. The first player gains control of Wilyador, as an ally.
Forced: At the end of each round, Wilyador suffers 2 damage.Wilyador cannot be healed of more than 5 wounds by a single effect. If Wilyador leaves play, the players have lost the game.",1,,,,,creature,eagle,,,20,1,1,1,,
60,4,10,The Wounded Eagle,Quest,1,8,,,"Side A: Setup: Search the encounter deck for Rhosgobel and Wilyador, and add them to the staging area with 2 damage tokens on Wilyador.  Then, shuffle the encounter deck.
Side B: none.",1,,,,,,,,,,,,,,
61,4,10,Radagast's Request,Quest,2,12,,,"Side A: none.
Side B: Response: After the quest phase begins, the first player may place X damage tokens on Wilyador to look at the top 3 cards of the encounter deck.  Reveal and add 1 of these cards to the staging area, and discard the other 2.  X is the number of players in the game.
Forced: After a card effect heals Wilyador, remove that card from the game.",1,,,,,,,,,,,,,,
62,4,10,Return to Rhosgobel,Quest,3,0,,,"Side A: none.
Side B: When Revealed: Heal 5 wounds from Wilyador for each Athelas objective card the players control.
If Wilyador is completely healed when this effect resolves, Wilyador survives and the players have won the game.  Otherwise, the players have lost the game.",1,,,,,,,,,,,,,,
25,28,74,Trouble in Bree,Quest,1,8,,,"Side A: Setup: Set all copies of Ringwraith, The Witch-king, Midgewater, and Weathertop aside, out of play. Add The Prancing Pony and Bill Ferny to the staging area. 
Shuffle the encounter deck.
Side B: The players cannot advance while The Prancing Pony is in play.",1,,,,,,,,,,,,,,
78,28,73,Gandalf's Delay,Objective,,,,,Setup: Add Gandalf?s Delay to the staging area. Each player draws 1 less card in his starting hand.,1,,,,,burden,,,,,,,,,
22,28,73,Three is Company,Quest,1,1,,,"Side A: Setup: Set Bucklebury Ferry aside, out of play. Add 1 Black Rider to the staging area and make Bag End the active location. Shuffle the encounter deck.
Side B: When a player fails a Hide test, each Nazgul enemy in the staging area engages that player. (Trigger Forced effects after resolving this effect.)
The players cannot advance unless Bag End is in the victory display. ",1,,,,,,,,,,,,,,
23,28,73,A Shortcut to Mushrooms,Quest,2,14,,,"Side A: When Revealed: The first player searches the encounter deck and discard pile for a Black Rider, reveals it (cannot be canceled), and adds it to the staging area. 
Shuffle the encounter deck.
Side B: When a player makes a Hide test, add 1 to the total [Threat] for each ally that player controls.
When a player fails a Hide test, each Nazg僕 enemy in the staging area engages
that player. (Trigger Forced effects after resolving this effect.) ",1,,,,,,,,,,,,,,
24,28,73,Escape to Buckland,Quest,3,,,,"Side A: When Revealed: Add Bucklebury Ferry to the staging area.
Side B: When Revealed: The first player searches the encounter deck and discard pile for a Black Rider, reveals it (cannot be canceled), and adds it to the staging area. 
Shuffle the encounter deck.
When a player fails a Hide test, each Nazg僕 enemy in the staging area engages that player. (Trigger Forced effects after resolving this effect.)
Response: After a player makes a successful Hide test, place X progress on a non-unique location in play. X is twice the number of players in the game. ",1,,,,,,,,,,,,,,
