playercard_no,playercard_box,playercard_name,playercard_unique,playercard_type,playercard_cost,playercard_sphere,playercard_special_rules,playercard_count,playercard_keyword1,playercard_keyword2,playercard_keyword3,playercard_keyword4,playercard_trait1,playercard_trait2,playercard_trait3,playercard_trait4,playercard_ally_quest,playercard_ally_attack,playercard_ally_defence,playercard_ally_hp,playercard_ally_secrecy
28,3,Beorning Beekeeper,,Ally,4,Tactics,Action: Discard Beorning Beekeeper from play to deal 1 damage to each enemy in the staging area.,3,,,,,beorning ,,,,1,2,1,3,
30,3,êEomund,,Ally,3,Spirit,Response: After êomund leaves play ready all Rohan characters in play.,3,,,,,rohan,,,,2,1,1,2,
32,3,Longbeard Map-Maker,,Ally,3,Lore,Action: Spend 1 Lore Resource to give Longbeard Map-Maker +1 Willpower until the end of the phase.,3,,,,,dwarf,,,,1,1,1,3,
26,3,Dunedain Warning,,Attachment,1,Leadership,"Attach to a hero. Attached hero gains +1 Defense.
Action: Pay 1 resource from attached heros pool to attach Dunedain Warning to another hero.",3,,,,,signal,,,,,,,,
29,3,Born Aloft,,Attachment,0,Tactics,"Attach to an ally.
Action: Discard Born Aloft from play to return attached ally to its owners hand.",3,,,,,condition,,,,,,,,
31,3,Nor am I a Stranger,,Attachment,1,Spirit,Attach to a character. Attached character gains the Rohan trait.,3,,,,,title,,,,,,,,
33,3,A Burning Brand,,Attachment,2,Lore,"Attach to Lore character.
While attached character is defending cancel any shadow effects on cards dealt to the attacking enemy.",3,,,,,item,,,,,,,,
34,3,Song of Wisdom,,Attachment,1,Neutral,"Attach to a hero. 
Attached hero gains a Lore resource icon.",3,,,,,song,,,,,,,,
27,3,Second Breakfast,,Event,1,Leadership,Action: Each player returns the topmost attachment card from his discard pile to his hand.,3,,,,,,,,,,,,,
4,2,Winged Guardian,,Ally,2,Tactics,Winged Guardian cannot have restricted attachments. Forced: After an attack in which Winged Guardian defends resolves pay 1 Tactics resource or discard Winged Guardian from play.,3,sentinel,,,,creature,eagle,,,0,0,4,1,
6,2,Westfold Horse-Breaker,,Ally,2,Spirit,Action: Discard Westfold Horse-Breaker to choose and ready a hero.,3,,,,,rohan,,,,1,0,1,1,
8,2,Rivendell Minstrel,,Ally,3,Lore,Response: After you play Rivendell Minstrel from your hand search your deck for 1 Song card and add it to your hand.  Shuffle your deck.,3,,,,,noldor,,,,2,0,0,1,
2,2,Dunedain Mark,,Attachment,1,Leadership,Attach to a hero. Attached hero gains +1 Attack. Action: Pay 1 resource from attached heros pool to attach Dunedain Mark to another hero.,3,,,,,signal ,,,,,,,,
10,2,Song of Kings,,Attachment,1,Neutral,Attach to a hero.Attached hero gains a Leadership resource icon.,3,,,,,song ,,,,,,,,
3,2,Campfire Tales,,Event,1,Leadership,Action: Each player draws 1 card.,3,,,,,,,,,,,,,
5,2,The Eagles are Coming!,,Event,0,Tactics,Action: Search the top 5 cards of your deck for any number of Eagle cards and add them to your hand.  Shuffle the other cards back into your deck.,3,,,,,eagle,,,,,,,,
7,2,Mustering the Rohirrim,,Event,1,Spirit,Action: Search the top 10 cards of your deck for any 1 Rohan ally card and add it to your hand.  Then shuffle the other cards back into your deck.,3,,,,,,,,,,,,,
9,2,Striders Path,,Event,1,Lore,Response: After a location is revealed from the encounter deck immediately travel to that location without resolving its Travel effect.  If another location is currently active return it to the staging area.,3,,,,,,,,,,,,,
53,4,Landroval,1,Ally,5,Tactics,"Landroval cannot have restricted attachments.
Response: After a hero card is destroyed return Landroval to his owners hand to put that hero back into play with 1 damage token on it. [Limit once per game.]",3,sentinel,,,,creature,eagle,,,1,3,1,4,
55,4,Escort from Edoras,,Ally,2,Spirit,"While committed to a quest Escort from Edoras gets +2 Willpower.
Forced: After resolving a quest to which Escort from Edoras was committed discard Escort from Edoras from play.",3,,,,,rohan,,,,2,0,0,1,
57,4,Haldir of Lorien,,Ally,4,Lore,,3,ranged,sentinel,,,silvan,,,,2,2,2,3,
59,4,Radagast,1,Ally,5,Neutral,"Radagast collects 1 resource each resource phase. These resources can be used to pay for Creature cards played from your hand. 
Action: Spend X resources from Radagasts pool to heal X wounds on any 1 Creature.",3,,,,,istari,,,,2,1,1,3,
51,4,Dunedain Quest,,Attachment,2,Leadership,"Attach to a hero. Attached hero gains +1 Willpower.
Action: Pay 1 resource from attached heros pool to attach Dunedain Quest to another hero.",3,,,,,signal,,,,,,,,
56,4,Ancient Mathom,,Attachment,1,Spirit,"Attach to a location.
Response: After attached location is explored the first player draws 3 cards.",3,,,,,mathom,,,,,,,,
52,4,Parting Gifts,,Event,0,Leadership,Action: Move any number of resource tokens from a Leadership heros resource pool to any other heros resource pool.,3,,,,,,,,,,,,,
54,4,To the Eyrie,,Event,2,Tactics,Response: After an ally is destroyed exhaust 1 Eagle character to move that ally from the discard pile to its owners hand.,3,,,,,,,,,,,,,
58,4,Infighting,,Event,1,Lore,Action: Move any number of damage from one enemy to another.,3,,,,,,,,,,,,,
84,19,Knight of Minas Tirith,,Ally,3,Tactics,If each of your heroes has a printed [Tactics] resource icon Knight of Minas Tirith gains: Response: After Knight of Minas Tirith enters play choose an enemy in the staging area. Engage that enemy and exhaust Knight of Minas Tirith to declare it as attacker [and resolve its attack] against that enemy.,3,,,,,gondor,warrior,,,0,3,1,3,
86,19,Pelargir Shipwright,,Ally,3,Spirit,Pelargir Shipwright gets +1 [Willpower] for each hero you control with a printed [Spirit] resource icon.,3,,,,,gondor,craftsman,,,0,1,1,3,
82,19,Sword of Morthrond,1,Attachment,1,Leadership,"Attach to a Gondor ally.
Attached ally gains the Outlands trait.",3,,,,,item,weapon,,,,,,,
85,19,Gondorian Fire,,Attachment,0,Tactics,"Attach to a Gondor or Dunedain hero.
Action: Spend 1 resource from attached heros resource pool to give attached hero +1 [Attack] for each resource in its resource pool until the end of the phase. [Limit once per phase.]",3,,,,,gondor,,,,,,,,
87,19,Map of Earnil,1,Attachment,4,Spirit,"Attach to a [Spirit] Hero.
Reduce the cost to play Map of Earnil by 1 for each hero you control with a printed [Spirit] resource icon.
Action: Discard Map of Earnil to play any [Spirit] event card in your discard pile as if it were in your hand. Then place that event on the bottom of your deck.",3,,,,,record,,,,,,,,
88,19,Ranger Bow,,Attachment,1,Lore,"Attach to a Ranger character. Restricted.
Action: Exhaust Ranger Bow and attached character to deal 1 damage to an enemy in the staging area.",3,,,,,weapon,,,,,,,,
89,19,Forest Patrol,,Attachment,1,Lore,"Play only if you control at least 1 Ranger character.
Action: Deal 3 damage to an enemy with at least 1 Trap card attached to it.",3,,,,,,,,,,,,,
